THE POSITIONS FULL: the tape's lines before the newest runner's moved
  pause   0 at (before the first line) ordinal     0 day         0: 198 computed,  53 not yet, 68 statements raised
  pause  78 at Gen 33:17      ordinal  1375 day    805432: 215 computed,  36 not yet, 44 statements raised
  pause  79 at Gen 33:18      ordinal  1382 day    805963: 215 computed,  36 not yet, 44 statements raised
  pause  80 at Gen 35:6       ordinal  1438 day    805964: 215 computed,  36 not yet, 44 statements raised
  pause  81 at Gen 35:16      ordinal  1471 day    806141: 215 computed,  36 not yet, 44 statements raised
  pause  82 at Gen 35:27      ordinal  1494 day    806142: 216 computed,  35 not yet, 43 statements raised
  pause  83 at Gen 35:28      ordinal  1497 day    806142: 216 computed,  35 not yet, 43 statements raised
  pause  84 at Gen 37:2       ordinal  1539 day    809399: 217 computed,  34 not yet, 42 statements raised
  pause  85 at Gen 40:5       ordinal  1654 day    813411: 217 computed,  34 not yet, 42 statements raised
  pause  86 at Gen 40:20      ordinal  1675 day    813413: 217 computed,  34 not yet, 42 statements raised
  pause  87 at Gen 41:1       ordinal  1686 day    814151: 217 computed,  34 not yet, 42 statements raised
  pause  88 at Gen 41:46      ordinal  1716 day    814151: 218 computed,  33 not yet, 41 statements raised
  pause  89 at Gen 41:53      ordinal  1735 day    816689: 218 computed,  33 not yet, 41 statements raised
  pause  90 at Gen 42:18      ordinal  1766 day    816691: 218 computed,  33 not yet, 41 statements raised
  pause  91 at Gen 45:5       ordinal  1864 day    817427: 219 computed,  32 not yet, 40 statements raised
  pause  92 at Gen 46:1       ordinal  1898 day    817427: 219 computed,  32 not yet, 40 statements raised
  pause  93 at Gen 47:9       ordinal  1936 day    817427: 219 computed,  32 not yet, 39 statements raised
  pause  94 at Gen 47:28      ordinal  1972 day    823625: 219 computed,  32 not yet, 39 statements raised
  pause  95 at Gen 50:3       ordinal  2006 day    823665: 219 computed,  32 not yet, 39 statements raised
  pause  96 at Gen 50:4       ordinal  2009 day    823695: 219 computed,  32 not yet, 39 statements raised
  pause  97 at Gen 50:10      ordinal  2017 day    823696: 219 computed,  32 not yet, 39 statements raised
  pause  98 at Gen 50:14      ordinal  2029 day    823703: 219 computed,  32 not yet, 38 statements raised
  pause  99 at Gen 50:26      ordinal  2054 day    823703: 219 computed,  32 not yet, 38 statements raised
  pause 100 at Exod 2:2       ordinal  2076 day    865071: 226 computed,  27 not yet, 36 statements raised
  pause 101 at Exod 2:3       ordinal  2085 day    865159: 227 computed,  26 not yet, 34 statements raised
  pause 102 at Exod 7:7       ordinal  2145 day    894137: 228 computed,  25 not yet, 33 statements raised
  pause 103 at Exod 7:25      ordinal  2153 day    894144: 228 computed,  25 not yet, 33 statements raised
  pause 104 at Exod 8:6       ordinal  2156 day    894145: 228 computed,  25 not yet, 33 statements raised
  pause 105 at Exod 8:19      ordinal  2166 day    894146: 228 computed,  25 not yet, 33 statements raised
  pause 106 at Exod 9:5       ordinal  2174 day    894147: 228 computed,  25 not yet, 33 statements raised
  pause 107 at Exod 9:18      ordinal  2183 day    894148: 228 computed,  25 not yet, 33 statements raised
  pause 108 at Exod 10:4      ordinal  2193 day    894149: 228 computed,  25 not yet, 33 statements raised
  pause 109 at Exod 10:22     ordinal  2202 day    894152: 228 computed,  25 not yet, 33 statements raised
  pause 110 at Exod 12:2      ordinal  2211 day    894314: 234 computed,  19 not yet, 26 statements raised
  pause 111 at Exod 12:3      ordinal  2212 day    894323: 234 computed,  19 not yet, 26 statements raised
  pause 112 at Exod 12:6      ordinal  2213 day    894327: 234 computed,  19 not yet, 26 statements raised
  pause 113 at Exod 12:29     ordinal  2214 day    894328: 234 computed,  19 not yet, 26 statements raised
  pause 114 at Exod 12:41     ordinal  2227 day    894328: 234 computed,  19 not yet, 26 statements raised
  pause 115 at Exod 14:21     ordinal  2246 day    894334: 234 computed,  19 not yet, 26 statements raised
  pause 116 at Exod 15:22     ordinal  2260 day    894337: 234 computed,  19 not yet, 26 statements raised
  pause 117 at Exod 16:1      ordinal  2277 day    894358: 234 computed,  19 not yet, 26 statements raised
  pause 118 at Exod 16:13     ordinal  2282 day    894359: 235 computed,  18 not yet, 25 statements raised
  pause 119 at Exod 19:1      ordinal  2319 day    894373: 236 computed,  17 not yet, 24 statements raised
  pause 120 at Exod 19:3      ordinal  2322 day    894374: 236 computed,  17 not yet, 24 statements raised
  pause 121 at Exod 19:12     ordinal  2331 day    894375: 236 computed,  17 not yet, 24 statements raised
  pause 122 at Exod 19:14     ordinal  2336 day    894376: 236 computed,  17 not yet, 24 statements raised
  pause 123 at Exod 19:16     ordinal  2337 day    894379: 237 computed,  16 not yet, 22 statements raised
  pause 124 at Exod 24:18     ordinal  2356 day    894379: 238 computed,  15 not yet, 21 statements raised
  pause 125 at Exod 32:19     ordinal  2372 day    894419: 239 computed,  14 not yet, 20 statements raised
  pause 126 at Exod 32:30     ordinal  2380 day    894420: 239 computed,  14 not yet, 20 statements raised
  pause 127 at Exod 34:4      ordinal  2387 day    894460: 239 computed,  14 not yet, 20 statements raised
  pause 128 at Exod 40:17     ordinal  2458 day    894698: 240 computed,  13 not yet, 19 statements raised
  pause 129 at Lev 8:2        ordinal  2496 day    894698: 240 computed,  13 not yet, 19 statements raised
  pause 130 at Lev 9:1        ordinal  2541 day    894698: 240 computed,  13 not yet, 19 statements raised
  pause 131 at Num 1:1        ordinal  2593 day    894728: 241 computed,  12 not yet, 18 statements raised
  pause 132 at Num 5:1        ordinal  2657 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 133 at Num 7:1        ordinal  2663 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 134 at Num 7:12       ordinal  2686 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 135 at Num 7:18       ordinal  2687 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 136 at Num 7:24       ordinal  2688 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 137 at Num 7:30       ordinal  2689 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 138 at Num 7:36       ordinal  2690 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 139 at Num 7:42       ordinal  2691 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 140 at Num 7:48       ordinal  2692 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 141 at Num 7:54       ordinal  2693 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 142 at Num 7:60       ordinal  2694 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 143 at Num 7:66       ordinal  2695 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 144 at Num 7:72       ordinal  2696 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 145 at Num 7:78       ordinal  2697 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 146 at Num 9:5        ordinal  2714 day    894728: 241 computed,  12 not yet, 17 statements raised
  pause 147 at Num 10:11      ordinal  2730 day    894747: 242 computed,  11 not yet, 16 statements raised
  pause 148 at Num 11:1       ordinal  2742 day    894750: 243 computed,  10 not yet, 15 statements raised
  pause 149 at Num 11:35      ordinal  2757 day    894778: 244 computed,   9 not yet, 14 statements raised
  pause 150 at Num 12:16      ordinal  2769 day    894785: 245 computed,   8 not yet, 13 statements raised
  pause 151 at Num 13:25      ordinal  2781 day    894824: 248 computed,   5 not yet, 10 statements raised
  pause 152 at Num 20:1       ordinal  2903 day    908570: 248 computed,   5 not yet, 10 statements raised
  pause 153 at Num 20:22      ordinal  2928 day    908659: 248 computed,   5 not yet, 10 statements raised
  pause 154 at Num 20:28      ordinal  2935 day    908688: 248 computed,   5 not yet, 10 statements raised
  pause 155 at Num 21:4       ordinal  2955 day    908718: 250 computed,   3 not yet,  8 statements raised
  pause 156 at Num 25:19      ordinal  3091 day    908718: 250 computed,   3 not yet,  8 statements raised
  pause 157 at Num 27:1       ordinal  3222 day    908718: 252 computed,   1 not yet,  6 statements raised
  pause 158 at Deut 1:1       ordinal  3474 day    908865: 253 computed,   0 not yet,  5 statements raised
  pause 159 at Deut 1:6       ordinal  3477 day    908865: 253 computed,   0 not yet,  5 statements raised
  pause 160 at Deut 1:9       ordinal  3481 day    908865: 253 computed,   0 not yet,  5 statements raised
  pause 161 at Deut 2:2       ordinal  3484 day    908865: 253 computed,   0 not yet,  5 statements raised
  pause 162 at Deut 4:1       ordinal  3510 day    908865: 253 computed,   0 not yet,  4 statements raised
  pause 163 at Deut 4:10      ordinal  3513 day    908865: 253 computed,   0 not yet,  3 statements raised
  pause 164 at Deut 4:13      ordinal  3518 day    908865: 253 computed,   0 not yet,  3 statements raised
  pause 165 at Deut 4:25      ordinal  3521 day    908865: 253 computed,   0 not yet,  3 statements raised
  pause 166 at Deut 5:23      ordinal  3526 day    908865: 253 computed,   0 not yet,  3 statements raised
  pause 167 at Deut 5:32      ordinal  3533 day    908865: 253 computed,   0 not yet,  2 statements raised
  pause 168 at Deut 8:19      ordinal  3553 day    908865: 253 computed,   0 not yet,  0 statements raised
THE FALLS: 253 checkpoints over 169 pauses in 1400 s; at pause 0 (before any line) 50; the last fall at pause 168 (Deut 8:19); NOT YET at the end 0; the table /Users/Shared/TorahSim/World/step9/checkpoint_positions.yaml
